iter	Logloss
0	0.6696073624
1	0.6529872127
2	0.6299604465
3	0.6075861339
4	0.5879041115
5	0.5650543991
6	0.5439194201
7	0.5229255309
8	0.5072745088
9	0.4857716331
10	0.4659468351
11	0.4485720021
12	0.4339503648
13	0.4229713851
14	0.4084246152
15	0.398183158
16	0.3836023693
17	0.3660027609
18	0.3516218061
19	0.3393807344
20	0.3322870617
21	0.3191843438
22	0.3120608667
23	0.2998289805
24	0.292278949
25	0.2836209262
26	0.2722708294
27	0.2653252275
28	0.2550060931
29	0.248598785
30	0.2433986502
31	0.2337836679
32	0.2246686595
33	0.2197313822
34	0.210761181
35	0.2038088574
36	0.1980300774
37	0.1907331342
38	0.1842949627
39	0.1776316375
40	0.1714566801
41	0.1657720355
42	0.1606354754
43	0.1550945033
44	0.1502395392
45	0.1448110953
46	0.1394572812
47	0.1368982893
48	0.1322922855
49	0.1278542581
50	0.1255548818
51	0.1235153587
52	0.1197948186
53	0.1161360268
54	0.1121794617
55	0.1084612557
56	0.1050007526
57	0.1014624317
58	0.09934348087
59	0.09761894593
60	0.09599442523
61	0.09323769588
62	0.09057830076
63	0.08736974592
64	0.08472620934
65	0.08184639928
66	0.07911580548
67	0.07794637383
68	0.07648352388
69	0.07392335411
70	0.07272628482
71	0.07092478052
72	0.06929850916
73	0.06763651148
74	0.06570552902
75	0.06423826461
76	0.06226213255
77	0.06074782201
78	0.05914871821
79	0.05767358666
80	0.0559297405
81	0.05522953282
82	0.05391145766
83	0.05233387501
84	0.0510021026
85	0.04981037172
86	0.0489231034
87	0.04771330944
88	0.04664277895
89	0.04579834222
90	0.04451760354
91	0.04355244191
92	0.04268633543
93	0.04158102149
94	0.0405621245
95	0.03977326023
96	0.03921655487
97	0.03845732746
98	0.03755544603
99	0.03667933272
100	0.03609487625
101	0.03535255021
102	0.03499535731
103	0.03417834749
104	0.03350579097
105	0.03292267181
106	0.03254225842
107	0.03193274976
108	0.03124098467
109	0.03063506107
110	0.03006968079
111	0.02974647976
112	0.02924547925
113	0.02860462632
114	0.02798629145
115	0.02745776406
116	0.02712682016
117	0.0265747508
118	0.02602366483
119	0.02551735832
120	0.02509843864
121	0.02486946225
122	0.02433662577
123	0.02393771974
124	0.0235653545
125	0.02307348819
126	0.02269333145
127	0.02223887997
128	0.0219206864
129	0.02159118517
130	0.02130675924
131	0.02087797322
132	0.0205465079
133	0.02025685837
134	0.02006964913
135	0.01977510966
136	0.01938660624
137	0.01922964172
138	0.01893618694
139	0.01869772649
140	0.01837296797
141	0.01803424068
142	0.01776207608
143	0.0175540481
144	0.01736462893
145	0.01710010453
146	0.01679140718
147	0.01653110137
148	0.01630362168
149	0.01608248676
150	0.01580048148
151	0.01552948533
152	0.01541473372
153	0.01523919957
154	0.01507055861
155	0.01488404369
156	0.01472284166
157	0.01455172061
158	0.01429858762
159	0.01409121613
160	0.0139299155
161	0.0137131356
162	0.0135724038
163	0.01336707745
164	0.01320944832
165	0.01307712533
166	0.01292891948
167	0.0127964425
168	0.01261272647
169	0.01241840654
170	0.01227140021
171	0.01208546074
172	0.01195357677
173	0.01183117821
174	0.0116813919
175	0.01157573397
176	0.01142154942
177	0.0112744357
178	0.01121066515
179	0.01107058106
180	0.01099024143
181	0.01088269642
182	0.01075918344
183	0.01061377647
184	0.01050450309
185	0.0104072533
186	0.01026517811
187	0.01018344714
188	0.01009822162
189	0.009999696661
190	0.009890510408
191	0.009812775144
192	0.009695812258
193	0.009570330466
194	0.00944752396
195	0.009387345895
196	0.009273242005
197	0.009211935335
198	0.009163741687
199	0.00910836779
200	0.008996302278
201	0.008888046735
202	0.008803688433
203	0.008717932715
204	0.008660403595
205	0.00856821125
206	0.0085154478
207	0.00845066211
208	0.008412592134
209	0.008318945639
210	0.008264861769
211	0.008176819123
212	0.008123639623
213	0.008036743818
214	0.007984810443
215	0.007919988956
216	0.00785735106
217	0.007769594111
218	0.007709137103
219	0.007639522255
220	0.007583833619
221	0.007499507061
222	0.007445319178
223	0.007405231762
224	0.007362163776
225	0.007282265185
226	0.00724160705
227	0.007181125052
228	0.007121236061
229	0.007060231298
230	0.006988431509
231	0.006914319803
232	0.006851794699
233	0.006805791396
234	0.006765470964
235	0.006711604575
236	0.006675063044
237	0.006626749174
238	0.006590394731
239	0.006538023017
240	0.006496674616
241	0.006439602747
242	0.006394075604
243	0.006343099281
244	0.006284858958
245	0.006231051329
246	0.006199097836
247	0.006142819569
248	0.006095680907
249	0.00606587183
250	0.00602847591
251	0.005977246984
252	0.0059238034
253	0.005890789518
254	0.00584043727
255	0.005785423365
256	0.005734072191
257	0.005710425525
258	0.005662895465
259	0.005612043078
260	0.005559857776
261	0.005519998648
262	0.005470507881
